Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.018171,-0.0017721,0.19446,0,0,0,2592.7,1069.7,0.085575,-2.7007,689.73,0.014558,1627.6,0,0,0,0,0,0,package://pudong/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pudong/meshes/base_link.STL,,000_dipanzhaungpei-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
cheshen,-0.83549,0.21412,0.58331,0,0,0,7793.2,5729.6,-1496.5,-549.49,8160.3,-525.9,11992,0,0,0,0,0,0,package://pudong/meshes/cheshen.STL,1,0.74902,0,1,0,0,0,0,0,0,package://pudong/meshes/cheshen.STL,,pjjq-cheshen-1,Coordinate System2,1z,base_to_cheshen,continuous,0,0,0.72,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
pjjq03,2.2911,3.7748E-15,1.2825,0,0,0,1440.8,321.25,5.2749E-13,-661.98,3009.3,1.7997E-13,2727.5,0,0,0,0,0,0,package://pudong/meshes/pjjq03.STL,1,0.49804,0,1,0,0,0,0,0,0,package://pudong/meshes/pjjq03.STL,,pjjq-03-1,Coordinate System3,3y,cheshen_to_03,revolute,-0.009,0,1.0372,0,0,0,cheshen,0,1,0,0,1,1.7,0,,,,,,,,
yg1480,2.2204E-15,1.0436E-14,0.88447,0,0,0,15.576,5.7795,3.8423E-17,3.773E-16,5.782,-3.0915E-17,0.073091,0,0,0,0,0,0,package://pudong/meshes/yg1480.STL,0,1,1,1,0,0,0,0,0,0,package://pudong/meshes/yg1480.STL,,yg1480mm-01-1,Coordinate System11,11y,03_to_1480,revolute,2.7108,0,2.1303,0,1.4036,0,pjjq03,0,-1,0,0,1,1.7,0,,,,,,,,
yg1480_2,3.9968E-15,9.1038E-15,0.91721,0,0,0,15.423,4.9237,4.5322E-18,4.8182E-16,4.9253,-1.1532E-16,0.021379,0,0,0,0,0,0,package://pudong/meshes/yg1480_2.STL,0.086275,0.21961,1,1,0,0,0,0,0,0,package://pudong/meshes/yg1480_2.STL,,yg1480mm-02-1,Coordinate System12,11z,1480_1_to_2,prismatic,0,0,0.7811,0,0,0,yg1480,0,0,-1,0,1,0.5,0,,,,,,,,
pjjq04,0.9223,6.2172E-15,0.24134,0,0,0,600.4,26.656,-1.7876E-14,15.684,564.47,4.8971E-14,545.68,0,0,0,0,0,0,package://pudong/meshes/pjjq04.STL,0,0.66667,0,1,0,0,0,0,0,0,package://pudong/meshes/pjjq04.STL,,pjjq-04-1,Coordinate System10,10y,03_to_04,revolute,5.4177,0,1.706,0,1.2726,0,pjjq03,0,1,0,0,1,1.7,0,,,,,,,,
yg1050,8.9706E-14,7.7716E-15,0.68295,0,0,0,11.684,2.6743,3.8052E-18,-4.0853E-16,2.6763,-1.2435E-16,0.046473,0,0,0,0,0,0,package://pudong/meshes/yg1050.STL,1,0,1,1,0,0,0,0,0,0,package://pudong/meshes/yg1050.STL,,yg1050mm-01-1,Coordinate System17,17y,04_to_1050,revolute,0.40628,0,0.76931,-3.1416,1.4945,-3.1416,pjjq04,0,-1,0,0,1,1.7,0,,,,,,,,
yg1050_2,8.9706E-14,4.6629E-15,0.69365,0,0,0,8.1381,1.6884,-2.173E-18,1.1427E-16,1.6889,-1.8072E-15,0.0079769,0,0,0,0,0,0,package://pudong/meshes/yg1050_2.STL,0,1,1,1,0,0,0,0,0,0,package://pudong/meshes/yg1050_2.STL,,yg1050mm-02-1,Coordinate System18,17z,1050_1_to_2,prismatic,0,0,1.0701,0,0,0,yg1050,0,0,-1,0,1,0.5,0,,,,,,,,
pjjq05_2,-4.885E-15,4.4409E-15,0.305,0,0,0,3.6933,0.17974,1.9711E-18,5.5077E-17,0.18482,1.2286E-17,0.0060665,0,0,0,0,0,0,package://pudong/meshes/pjjq05_2.STL,1,0.49804,0,1,0,0,0,0,0,0,package://pudong/meshes/pjjq05_2.STL,,pjjq-05-2,Coordinate System15,15y,04_to_05_2,revolute,2.4617,0.17,0.17367,0,0.84777,0,pjjq04,0,1,0,0,1,1.7,0,,,,,,,,
pjjq05_1,-4.4409E-15,3.5527E-15,0.305,0,0,0,3.6933,0.17974,-1.2585E-18,1.8865E-17,0.18482,-2.112E-17,0.0060665,0,0,0,0,0,0,package://pudong/meshes/pjjq05_1.STL,1,0.49804,0,1,0,0,0,0,0,0,package://pudong/meshes/pjjq05_1.STL,,pjjq-05-1,Coordinate System16,15y,04_to_05_1,revolute,2.4617,-0.17,0.17367,0,0.84777,0,pjjq04,0,1,0,0,1,1.7,0,,,,,,,,
chandou,0.72017,3.3307E-15,0.569,0,0,0,359.5,94.627,4.1355E-14,-4.7801,138.37,7.1336E-14,169.06,0,0,0,0,0,0,package://pudong/meshes/chandou.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://pudong/meshes/chandou.STL,,铲斗1-2,Coordinate System14,14y,o4_to_chandou,revolute,2.9111,0,0.15097,0,1.4717,0,pjjq04,0,1,0,0,1,1.7,0,,,,,,,,
pjjq06,-8.8818E-16,0,-0.314,0,0,0,16.973,1.2029,1.7203E-16,-8.3267E-17,1.0753,5.09E-17,0.1691,0,0,0,0,0,0,package://pudong/meshes/pjjq06.STL,0,1,1,1,0,0,0,0,0,0,package://pudong/meshes/pjjq06.STL,,pjjq-06-1,Coordinate System20,20y,chandou_to_06,revolute,-0.10419,0,0.59088,0,0.53327,0,chandou,0,-1,0,0,1,1.7,0,,,,,,,,
yg1220_1_1,6.3838E-15,6.6613E-15,0.76602,0,0,0,12.766,3.6006,-2.0103E-17,8.5001E-16,3.6026,1.1691E-16,0.051461,0,0,0,0,0,0,package://pudong/meshes/yg1220_1_1.STL,1,0,0,1,0,0,0,0,0,0,package://pudong/meshes/yg1220_1_1.STL,,yg1220mm-01-1,Coordinate System4,4y,cheshen_to_1220_1,revolute,0.461,0.31,0.44,0,0.55538,0,cheshen,0,1,0,0,1,1.7,0,,,,,,,,
yg1220_1_2,5.8287E-15,3.1086E-15,0.75378,0,0,0,8.7504,2.1109,6.2989E-19,4.0658E-16,2.1113,6.698E-15,0.0084603,0,0,0,0,0,0,package://pudong/meshes/yg1220_1_2.STL,1,0,0,1,0,0,0,0,0,0,package://pudong/meshes/yg1220_1_2.STL,,yg1220mm-02-1,Coordinate System6,4z,1220_1,prismatic,0,0,0.95471,0,0,0,yg1220_1_1,0,0,-1,0,1,0.5,0,,,,,,,,
yg1220_2_1,4.885E-15,4.6629E-15,0.76602,0,0,0,12.766,3.6006,-2.0289E-17,7.1818E-16,3.6026,2.2196E-15,0.051461,0,0,0,0,0,0,package://pudong/meshes/yg1220_2_1.STL,1,0,0,1,0,0,0,0,0,0,package://pudong/meshes/yg1220_2_1.STL,,yg1220mm-01-2,Coordinate System5,4y,cheshen_to_1220_2,revolute,0.461,-0.31,0.44,0,0.55538,0,cheshen,0,1,0,0,1,1.7,0,,,,,,,,
yg1220_2_2,4.2744E-15,3.3307E-15,0.75378,0,0,0,8.7504,2.1109,-5.507E-18,-1.5266E-16,2.1113,6.6736E-15,0.0084603,0,0,0,0,0,0,package://pudong/meshes/yg1220_2_2.STL,1,0,0,1,0,0,0,0,0,0,package://pudong/meshes/yg1220_2_2.STL,,yg1220mm-02-2,Coordinate System7,5z,1220_2,prismatic,0,0,0.95471,0,0,0,yg1220_2_1,0,0,-1,0,1,0.5,0,,,,,,,,
